Estado,Índice de Desenvolvimento Humano (IDH) [2021],Total de receitas brutas realizadas [2023],Total de despesas brutas empenhadas [2023],Número de agências [2023],Depósitos a prazo [2023],Depósitos à vista [2023]
Acre,"0,71","11.137.410.342,21","10.302.403.420,85",49,"1.544.579.067,00","768.198.883,00"
Alagoas,"0,684","20.927.817.222,51","17.963.587.096,92",151,"9.571.869.481,00","2.262.419.289,00"
Amapá,"0,688","11.249.572.238,02","8.505.172.844,49",40,"1.635.496.172,00","594.448.117,00"
Amazonas,"0,7","33.030.751.885,07","30.029.370.828,75",191,"14.945.635.731,00","2.446.554.299,00"
Bahia,"0,691","80.290.524.858,16","77.868.037.416,52",825,"51.302.336.652,00","9.552.068.592,00"
Ceará,"0,734","46.124.793.433,02","37.423.640.356,93",420,"33.903.091.671,00","5.549.782.938,00"
Distrito Federal,"0,814","36.479.338.564,35","33.897.143.557,68",345,"221.270.874.208,00","13.029.550.768,00"
Espírito Santo,"0,771","34.291.544.903,51","25.098.719.258,87",345,"32.372.215.412,00","3.862.315.829,00"
Goiás,"0,737","57.825.598.739,32","39.420.594.475,73",574,"45.615.536.813,00","7.339.344.515,00"
Maranhão,"0,676","31.379.701.580,17","24.496.014.978,83",298,"9.160.708.044,00","3.877.726.675,00"
Mato Grosso,"0,736","54.372.352.372,25","37.014.020.738,27",274,"20.573.162.660,00","4.241.191.400,00"
Mato Grosso do Sul,"0,742","33.155.489.102,00","24.358.822.183,06",221,"11.750.471.564,00","2.622.876.341,00"
Minas Gerais,"0,774","138.168.422.501,96","110.408.991.645,56",1.579,"163.877.819.307,00","21.490.523.692,00"
Paraná,"0,769","92.067.885.773,50","67.607.620.659,63",1.091,"123.075.500.636,00","13.322.867.259,00"
Paraíba,"0,698","23.462.797.714,09","17.883.420.827,99",210,"9.811.080.343,00","2.399.526.425,00"
Pará,"0,69","52.747.856.526,44","43.981.234.831,53",505,"25.302.478.197,00","5.294.904.670,00"
Pernambuco,"0,719","53.294.049.711,50","48.872.197.159,80",470,"45.514.749.215,00","5.961.028.725,00"
Piauí,"0,69","22.928.941.802,89","20.000.924.386,53",153,"5.214.196.803,00","2.540.506.998,00"
Rio Grande do Norte,"0,728","22.703.397.803,27","19.486.967.053,93",168,"8.814.359.383,00","2.702.840.071,00"
Rio Grande do Sul,"0,771","88.012.101.405,33","78.352.533.473,39",1.431,"145.882.679.846,00","14.994.512.416,00"
Rio de Janeiro,"0,762","121.957.245.523,51","102.289.960.365,40",1.412,"378.877.176.227,00","39.638.872.056,00"
Rondônia,"0,7","17.855.762.489,37","13.605.769.496,55",124,"6.192.771.269,00","1.474.613.914,00"
Roraima,"0,699","8.846.153.006,77","7.473.220.866,93",25,"1.277.640.825,00","1.015.580.579,00"
Santa Catarina,"0,792","61.440.241.790,39","43.927.295.658,78",682,"49.122.874.493,00","8.724.873.172,00"
Sergipe,"0,702","17.151.927.623,32","13.470.989.190,76",175,"8.391.780.897,00","2.505.383.886,00"
São Paulo,"0,806","343.634.435.413,40","328.315.580.393,50",4.836,"1.398.712.238.496,00","113.713.803.998,00"
Tocantins,"0,731","20.836.869.522,78","15.873.514.926,43",107,"4.841.811.485,00","1.754.197.782,00"
