Estado,População no último censo [2022],População estimada [2024],Densidade demográfica [2022],Total de veículos [2023]
Acre,830.018,880.631,"5,06",350.273
Alagoas,3.127.683,3.220.104,"112,38",1.095.144
Amapá,733.759,802.837,"5,15",242.574
Amazonas,3.941.613,4.281.209,"2,53",1.130.055
Bahia,14.141.626,14.850.513,"25,04",5.120.353
Ceará,8.794.957,9.233.656,"59,07",3.753.826
Distrito Federal,2.817.381,2.982.818,"489,06",2.083.081
Espírito Santo,3.833.712,4.102.129,"83,21",2.357.061
Goiás,7.056.495,7.350.483,"20,74",4.726.950
Maranhão,6.776.699,7.010.960,"20,56",2.132.527
Mato Grosso,3.658.649,3.836.399,"4,05",2.695.548
Mato Grosso do Sul,2.757.013,2.901.895,"7,72",1.893.634
Minas Gerais,20.539.989,21.322.691,"35,02",13.481.706
Paraná,11.444.380,11.824.665,"57,42",8.838.800
Paraíba,3.974.687,4.145.040,"70,39",1.593.744
Pará,8.120.131,8.664.306,"6,52",2.627.090
Pernambuco,9.058.931,9.539.029,"92,37",3.568.386
Piauí,3.271.199,3.375.646,"12,99",1.449.658
Rio Grande do Norte,3.302.729,3.446.071,"62,54",1.554.064
Rio Grande do Sul,10.882.965,11.229.915,"38,63",8.075.318
Rio de Janeiro,16.055.174,17.219.679,"366,97",7.705.012
Rondônia,1.581.196,1.746.227,"6,65",1.197.221
Roraima,636.707,716.793,"2,85",275.703
Santa Catarina,7.610.361,8.058.441,"79,50",6.189.405
Sergipe,2.210.004,2.291.077,"100,74",951.523
São Paulo,44.411.238,45.973.194,"178,92",33.264.096
Tocantins,1.511.460,1.577.342,"5,45",874.905
