Estado,Número de municípios,Área da unidade territorial [2024],Área urbanizada [2019]
Alagoas,102,"27.830,661","588,41"
Amapá,16,"142.253,880","151,22"
Amazonas,62,"1.558.706,127","669,46"
Bahia,417,"564.760,429","2.814,29"
Ceará,184,"148.894,444","1.594,42"
Distrito Federal,1,"5.760,783","590,22"
Espírito Santo,78,"46.074,448","730,73"
Goiás,246,"340.242,860","2.005,27"
Maranhão,217,"329.651,478","1.544,71"
Mato Grosso,141,"903.208,362","1.244,20"
Mato Grosso do Sul,79,"357.142,010","841,85"
Minas Gerais,853,"586.513,984","4.699,69"
Paraná,399,"199.298,981","3.349,03"
Paraíba,223,"56.467,242","680,32"
Pará,144,"1.245.828,829","1.745,77"
Pernambuco,185,"98.067,879","1.415,19"
Piauí,224,"251.755,499","900,03"
Rio Grande do Norte,167,"52.809,599","815,53"
Rio Grande do Sul,497,"281.707,151","3.601,63"
Rio de Janeiro,92,"43.750,425","2.824,91"
Rondônia,52,"237.754,171","532,23"
Roraima,15,"223.505,385","229,30"
Santa Catarina,295,"95.730,690","2.530,00"
Sergipe,75,"21.938,188","461,84"
São Paulo,645,"248.219,485","8.614,62"
Tocantins,139,"277.423,627","553,49"
